customerID,gender,SeniorCitizen,Partner,Dependents,tenure,Tenure Group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Monthly Charge Group,TotalCharges,Churn_Numeric,Churn,SeniorCitizenText
7590-VHVEG,Female,0,Yes,No,1,New,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,Low,29.85,,No,No
5575-GNVDE,Male,0,No,No,34,Medium,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,Medium,1889.5,,No,No
3668-QPYBK,Male,0,No,No,2,New,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,Medium,108.15,,Yes,No
7795-CFOCW,Male,0,No,No,45,Long,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,Medium,1840.75,,No,No
9237-HQITU,Female,0,No,No,2,New,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,High,151.65,,Yes,No
9305-CDSKC,Female,0,No,No,8,New,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,High,820.5,,Yes,No
1452-KIOVK,Male,0,No,Yes,22,Medium,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,High,1949.4,,No,No
6713-OKOMC,Female,0,No,No,10,New,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,Low,301.9,,No,No
7892-POOKP,Female,0,Yes,No,28,Medium,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,High,3046.05,,Yes,No
6388-TABGU,Male,0,No,Yes,62,Long,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,Medium,3487.95,,No,No
9763-GRSKD,Male,0,Yes,Yes,13,Medium,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,Medium,587.45,,No,No
7469-LKBCI,Male,0,No,No,16,Medium,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,Low,326.8,,No,No
8091-TTVAX,Male,0,Yes,No,58,Long,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,High,5681.1,,No,No
0280-XJGEX,Male,0,No,No,49,Long,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,High,5036.3,,Yes,No
5129-JLPIS,Male,0,No,No,25,Medium,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,High,2686.05,,No,No
3655-SNQYZ,Female,0,Yes,Yes,69,Long,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,High,7895.15,,No,No
8191-XWSZG,Female,0,No,No,52,Long,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,Low,1022.95,,No,No
9959-WOFKT,Male,0,No,Yes,71,Long,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,High,7382.25,,No,No
4190-MFLUW,Female,0,Yes,Yes,10,New,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Medium,528.35,,Yes,No
4183-MYFRB,Female,0,No,No,21,Medium,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,High,1862.9,,No,No
8779-QRDMV,Male,1,No,No,1,New,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Medium,39.65,,Yes,Yes
1680-VDCWW,Male,0,Yes,No,12,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,Low,202.25,,No,No
1066-JKSGK,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Low,20.15,,Yes,No
3638-WEABW,Female,0,Yes,No,58,Long,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,Medium,3505.1,,No,No
6322-HRPFA,Male,0,Yes,Yes,49,Long,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,Medium,2970.3,,No,No
6865-JZNKO,Female,0,No,No,30,Medium,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,Medium,1530.6,,No,No
6467-CHFZW,Male,0,Yes,Yes,47,Long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,High,4749.15,,Yes,No
8665-UTDHZ,Male,0,Yes,Yes,1,New,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Low,30.2,,Yes,No
5248-YGIJN,Male,0,Yes,No,72,Long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,High,6369.45,,No,No
8773-HHUOZ,Female,0,No,Yes,17,Medium,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Medium,1093.1,,Yes,No
3841-NFECX,Female,1,Yes,No,71,Long,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,High,6766.95,,No,Yes
4929-XIHVW,Male,1,Yes,No,2,New,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,High,181.65,,No,Yes
6827-IEAUQ,Female,0,Yes,Yes,27,Medium,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,Medium,1874.45,,No,No
7310-EGVHZ,Male,0,No,No,1,New,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,Low,20.2,,No,No
3413-BMNZE,Male,1,No,No,1,New,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,Medium,45.25,,No,Yes
6234-RAAPL,Female,0,Yes,Yes,72,Long,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,High,7251.7,,No,No
6047-YHPVI,Male,0,No,No,5,New,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,Medium,316.9,,Yes,No
6572-ADKRS,Female,0,No,No,46,Long,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,High,3548.3,,No,No
5380-WJKOV,Male,0,No,No,34,Medium,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,High,3549.25,,Yes,No
8168-UQWWF,Female,0,No,No,11,New,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,High,1105.4,,Yes,No
8865-TNMNX,Male,0,Yes,Yes,10,New,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,Medium,475.7,,No,No
9489-DEDVP,Female,0,Yes,Yes,70,Long,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,Medium,4872.35,,No,No
9867-JCZSP,Female,0,Yes,Yes,17,Medium,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,Low,418.25,,No,No
4671-VJLCL,Female,0,No,No,63,Long,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,High,4861.45,,No,No
4080-IIARD,Female,0,Yes,No,13,Medium,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,High,981.45,,No,No
3714-NTNFO,Female,0,No,No,49,Long,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,High,3906.7,,No,No
5948-UJZLF,Male,0,No,No,2,New,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,Medium,97,,No,No
7760-OYPDY,Female,0,No,No,2,New,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,High,144.15,,Yes,No
7639-LIAYI,Male,0,No,No,52,Long,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,High,4217.8,,No,No
2954-PIBKO,Female,0,Yes,Yes,69,Long,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,Medium,4254.1,,No,No
8012-SOUDQ,Female,1,No,No,43,Long,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,High,3838.75,,No,Yes
9420-LOJKX,Female,0,No,No,15,Medium,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,High,1426.4,,Yes,No
6575-SUVOI,Female,1,Yes,No,25,Medium,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,Medium,1752.65,,No,Yes
7495-OOKFY,Female,1,Yes,No,8,New,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,High,633.3,,Yes,Yes
4667-QONEA,Female,1,Yes,Yes,60,Long,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,High,4456.35,,No,Yes
1658-BYGOY,Male,1,No,No,18,Medium,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,High,1752.55,,Yes,Yes
8769-KKTPH,Female,0,Yes,Yes,63,Long,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,High,6311.2,,No,No
5067-XJQFU,Male,1,Yes,Yes,66,Long,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,High,7076.35,,No,Yes
3957-SQXML,Female,0,Yes,Yes,34,Medium,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,Low,894.3,,No,No
5954-BDFSG,Female,0,No,No,72,Long,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,High,7853.7,,No,No
